,category,first flight,introduced,introduction,ns,number built,pageid,retired,status,title,unit cost,views,built_group,built_number,year
751,Category:1910s United States civil utility aircraft|Category:1910s United States civil utility aircraft|Category:1910s United States civil utility aircraft|Category:1910s United States civil utility aircraft|Category:1910s United States civil utility aircraft|Category:1910s United States civil utility aircraft,[[1919 in aviation,,Error,0,1,15535393,,,Dayton-Wright OW.1 Aerial Coupe,Error,3.1205479452054794,1,1.0,1919.0
752,Category:1910s United States civil utility aircraft|Category:1910s United States civil utility aircraft|Category:1910s United States civil utility aircraft|Category:1910s United States civil utility aircraft|Category:1910s United States civil utility aircraft|Category:1910s United States civil utility aircraft,12 January 1912,,Error,0,over 150,12429150,,,Curtiss Model F,Error,27.002739726027396,4,150.0,1912.0
755,Category:1910s United States civil utility aircraft|Category:1910s United States civil utility aircraft|Category:1910s United States civil utility aircraft|Category:1910s United States civil utility aircraft|Category:1910s United States civil utility aircraft|Category:1910s United States civil utility aircraft,27 December 1919,,Error,0,1,9060472,,,Boeing B-1,Error,13.145205479452056,1,1.0,1919.0
757,Category:1910s United States civil utility aircraft|Category:1910s United States civil utility aircraft|Category:1910s United States civil utility aircraft|Category:1910s United States civil utility aircraft|Category:1910s United States civil utility aircraft|Category:1910s United States civil utility aircraft,1919,,Error,0,8x K-1 + One each of Ace 200 and Ace 300,1013431,,,Aircraft Engineering Corp Ace K-1,"$3,000 in 1920",2.536986301369863,3,8.0,1919.0
832,Category:1990s United States ultralight aircraft|Category:1990s United States sport aircraft|Category:1990s United States ultralight aircraft|Category:1990s United States sport aircraft|Category:1990s United States ultralight aircraft|Category:1990s United States sport aircraft|Category:1990s United States ultralight aircraft|Category:1990s United States sport aircraft|Category:1990s United States ultralight aircraft|Category:1990s United States ultralight aircraft|Category:1990s United States sport aircraft|Category:1990s United States sport aircraft|Category:Light-sport aircraft,,Error,,0,"1087 (total family of aircraft, 2011)",27035855,,Production completed,Preceptor N3 Pup,"[[US$]]17,295 (kit, 2015)",20.947945205479453,5,1087.0,1990.0
941,Category:1980s United States ultralight aircraft|Category:1980s United States ultralight aircraft|Category:1980s United States ultralight aircraft|Category:1980s United States ultralight aircraft|Category:1980s United States ultralight aircraft|Category:1980s United States ultralight aircraft|Category:Light-sport aircraft,1983,,Error,0,3571 (2011),9124387,Error,In production (2018),Quad City Challenger,[[US dollar,51.06575342465754,6,3571.0,1983.0
1018,Category:1970s United States ultralight aircraft|Category:1970s United States ultralight aircraft|Category:1970s United States ultralight aircraft|Category:1970s United States ultralight aircraft|Category:1970s United States ultralight aircraft|Category:1970s United States ultralight aircraft,25 January 1975,,Error,0,300 kits sold by 1979,11953581,,,Birdman TL-1,Error,5.304109589041096,5,300.0,1975.0
1036,Category:1970s United States civil trainer aircraft|Category:1970s United States civil trainer aircraft|Category:1970s United States civil trainer aircraft|Category:1970s United States civil trainer aircraft|Category:1970s United States civil trainer aircraft|Category:1970s United States civil trainer aircraft,,1978,Error,0,"2,484",1202452,,,Piper PA-38 Tomahawk,,106.6082191780822,6,2484.0,1978.0
1037,Category:1970s United States civil trainer aircraft|Category:1970s United States civil trainer aircraft|Category:1970s United States civil trainer aircraft|Category:1970s United States civil trainer aircraft|Category:1970s United States civil trainer aircraft|Category:1970s United States civil trainer aircraft|Category:Abandoned civil aircraft projects of the United States,"June 12, 1970",,Error,0,1,29752591,,,Beechcraft Model 16,,10.263013698630138,1,1.0,1970.0
1038,Category:1970s United States civil trainer aircraft|Category:1970s United States civil trainer aircraft|Category:1970s United States civil trainer aircraft|Category:1970s United States civil trainer aircraft|Category:1970s United States civil trainer aircraft|Category:1970s United States civil trainer aircraft,September 1974,Error,1978,0,437,1236656,,,Beechcraft Duchess,,89.23013698630137,5,437.0,1974.0
1039,Category:1970s United States civil trainer aircraft|Category:1970s United States sport aircraft|Category:1970s United States civil trainer aircraft|Category:1970s United States sport aircraft|Category:1970s United States civil trainer aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States civil trainer aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States civil trainer aircraft|Category:1970s United States civil trainer aircraft,,1970,Error,0,"Over 6,000",4535901,,,American Champion Decathlon,Error,107.6,6,6000.0,1970.0
1041,Category:1960s United States civil trainer aircraft|Category:1960s United States civil trainer aircraft|Category:1960s United States civil trainer aircraft|Category:1960s United States civil trainer aircraft|Category:1960s United States civil trainer aircraft|Category:1960s United States civil trainer aircraft,1961,1963,Error,0,25,11207781,,,Champion Lancer,"$12,500 in 1964",12.172602739726027,3,25.0,1961.0
1042,Category:1940s United States civil trainer aircraft|Category:1940s United States civil trainer aircraft|Category:1940s United States civil trainer aircraft|Category:1940s United States civil trainer aircraft|Category:1940s United States civil trainer aircraft|Category:1940s United States civil trainer aircraft|Category:Abandoned civil aircraft projects of the United States,[[1942 in aviation,,Error,0,1,15202043,,,Piper PT-1,Error,7.8493150684931505,1,1.0,1942.0
1044,Category:1940s United States civil trainer aircraft|Category:1940s United States civil trainer aircraft|Category:1940s United States civil trainer aircraft|Category:1940s United States civil trainer aircraft|Category:1940s United States civil trainer aircraft|Category:1940s United States civil trainer aircraft,[[1940 in aviation,,Error,0,1,14991343,,,Fleetwings 33,Error,2.747945205479452,1,1.0,1940.0
1045,Category:1930s United States civil trainer aircraft|Category:1930s United States civil trainer aircraft|Category:1930s United States civil trainer aircraft|Category:1930s United States civil trainer aircraft|Category:1930s United States civil trainer aircraft|Category:1930s United States civil trainer aircraft,[[1936 in aviation,[[1936 in aviation,Error,0,476,15470239,,still in service,Porterfield Collegiate,Error,8.912328767123288,5,476.0,1936.0
1046,Category:1930s United States civil trainer aircraft|Category:1930s United States civil trainer aircraft|Category:1930s United States civil trainer aircraft|Category:1930s United States civil trainer aircraft|Category:1930s United States civil trainer aircraft|Category:1930s United States civil trainer aircraft,[[1936 in aviation,,Error,0,104,16338209,,,Meyers OTW,Error,9.241095890410959,4,104.0,1936.0
1047,Category:1930s United States civil trainer aircraft|Category:1930s United States civil trainer aircraft|Category:1930s United States civil trainer aircraft|Category:1930s United States civil trainer aircraft|Category:1930s United States civil trainer aircraft|Category:1930s United States civil trainer aircraft,[[1931 in aviation,,Error,0,63,15016691,,Some airworthy in 2009,Curtiss-Wright CW-12,Error,12.605479452054794,4,63.0,1931.0
1070,Category:1900s United States sport aircraft|Category:1900s United States sport aircraft|Category:1900s United States sport aircraft|Category:1900s United States sport aircraft|Category:1900s United States sport aircraft|Category:1900s United States sport aircraft,[[1909 in aviation,,Error,0,1,14977215,,,Curtiss No. 2,Error,16.257534246575343,1,1.0,1909.0
1073,Category:2010s United States sport aircraft|Category:2010s United States sport aircraft|Category:2010s United States sport aircraft|Category:2010s United States sport aircraft|Category:2010s United States sport aircraft|Category:2010s United States sport aircraft,,Error,,0,1,47349068,,In Development,Sonex Aircraft Teros,,4.821917808219178,1,1.0,2010.0
1074,Category:2010s United States sport aircraft|Category:2010s United States sport aircraft|Category:2010s United States sport aircraft|Category:2010s United States sport aircraft|Category:2010s United States sport aircraft|Category:2010s United States sport aircraft|Category:Light-sport aircraft,27 January 2011,Error,,0,53 incl 2 prototypes as of Mars 2019,30598876,,,Sonex Aircraft Onex,[[US Dollar,14.23013698630137,4,53.0,2011.0
1084,Category:2000s United States sport aircraft|Category:2000s United States sport aircraft|Category:2000s United States sport aircraft|Category:2000s United States sport aircraft|Category:2000s United States sport aircraft|Category:2000s United States sport aircraft|Category:Light-sport aircraft,,Error,,0,"311 (Sonex, Dec 2011)",4753182,,,Sonex Aircraft Sonex,[[US Dollar,34.654794520547945,5,311.0,2000.0
1103,Category:2000s United States sport aircraft|Category:2000s United States sport aircraft|Category:2000s United States sport aircraft|Category:2000s United States sport aircraft|Category:2000s United States sport aircraft|Category:2000s United States sport aircraft|Category:Light-sport aircraft,13 October 2006 (concept aircraft),,Error,0,275 (December 2013),6117458,Error,Production completed (2013),Cessna 162 Skycatcher,[[United States dollar,147.36164383561643,5,275.0,2006.0
1108,Category:2000s United States sport aircraft|Category:2000s United States sport aircraft|Category:1980s Canadian ultralight aircraft|Category:1980s Canadian ultralight aircraft|Category:2000s United States sport aircraft|Category:2000s United States sport aircraft|Category:1980s Canadian ultralight aircraft|Category:1980s Canadian ultralight aircraft|Category:1980s Canadian ultralight aircraft|Category:1980s Canadian ultralight aircraft|Category:2000s United States sport aircraft|Category:2000s United States sport aircraft|Category:Light-sport aircraft,,1984,Error,0,"More than 1,000",6414450,N/A,in production,AMD Zodiac,"[[US$]]18,500 (kit only, December 2011)",40.81643835616438,5,1000.0,1984.0
1131,Category:1990s United States sport aircraft|Category:1990s United States sport aircraft|Category:1990s United States sport aircraft|Category:1990s United States sport aircraft|Category:1990s United States sport aircraft|Category:1990s United States sport aircraft|Category:Racing aircraft|Category:Racing aircraft,"March 22, 1991",1991,Error,0,1,2435192,"September 14, 1993 (Destroyed)",,Scaled Composites Pond Racer,,32.02739726027397,1,1.0,1991.0
1140,Category:1990s United States sport aircraft|Category:1990s United States sport aircraft|Category:1990s United States sport aircraft|Category:1990s United States sport aircraft|Category:1990s United States sport aircraft|Category:1990s United States sport aircraft,Error,Error,Error,0,37,9457368,Error,Renewed Production Stages.,Papa 51 Thunder Mustang,"$297,000 USD",37.97808219178082,3,37.0,1990.0
1153,Category:1990s United States sport aircraft|Category:1990s United States sport aircraft|Category:1990s United States sport aircraft|Category:1990s United States sport aircraft|Category:1990s United States sport aircraft|Category:1990s United States sport aircraft,,Error,,0,At least 26,16457295,Error,,Giles G-202,"$56,500 (kit without engine)",17.427397260273974,3,26.0,1990.0
1160,Category:1990s United States sport aircraft|Category:1990s United States sport aircraft|Category:1990s United States sport aircraft|Category:1990s United States sport aircraft|Category:1990s United States sport aircraft|Category:1990s United States sport aircraft,,1989,Error,0,31,3557604,,,Berkut 360,Error,47.04383561643836,3,31.0,1989.0
1161,Category:1990s United States sport aircraft|Category:1990s United States sport aircraft|Category:1990s United States sport aircraft|Category:1990s United States sport aircraft|Category:1990s United States sport aircraft|Category:1990s United States sport aircraft,8 July 1992,,Error,0,5,11749983,,Experimental,Bede BD-10,Error,55.58904109589041,2,5.0,1992.0
1175,Category:1980s United States sport aircraft|Category:1980s United States sport aircraft|Category:1980s United States sport aircraft|Category:1980s United States sport aircraft|Category:1980s United States sport aircraft|Category:1980s United States sport aircraft,8 May 1988,,Error,0,1,3241995,,,Starr Bumble Bee II,Unknown,28.17808219178082,1,1.0,1988.0
1176,Category:1980s United States sport aircraft|Category:1980s United States sport aircraft|Category:1980s United States sport aircraft|Category:1980s United States sport aircraft|Category:1980s United States sport aircraft|Category:1980s United States sport aircraft,23 August 1982,Error,,0,"From kits: about 80, prototypes: 2",2122568,,Seawind 2000 - production completed,Seawind International Seawind,"~$420,000",38.56986301369863,2,2.0,1982.0
1182,Category:1980s United States sport aircraft|Category:1980s United States sport aircraft|Category:1980s United States sport aircraft|Category:1980s United States sport aircraft|Category:1980s United States sport aircraft|Category:1980s United States sport aircraft,{{avyear,,Error,0,1,16569279,,,LoPresti Fury,Error,6.69041095890411,1,1.0,1980.0
1186,Category:1980s United States sport aircraft|Category:1980s United States sport aircraft|Category:1980s United States sport aircraft|Category:1980s United States sport aircraft|Category:1980s United States sport aircraft|Category:1980s United States sport aircraft,,,Error,0,1,1211604,,,Holcomb Perigee,,3.315068493150685,1,1.0,1980.0
1187,Category:1980s United States sport aircraft|Category:1980s United States sport aircraft|Category:1980s United States helicopters|Category:1980s United States sport aircraft|Category:1980s United States helicopters|Category:1980s United States sport aircraft|Category:1980s United States sport aircraft|Category:1980s United States sport aircraft,,,Error,0,2,16094569,,,Eagle Helicopter Eagle II,Error,2.989041095890411,2,2.0,1980.0
1193,Category:1980s United States sport aircraft|Category:1980s United States sport aircraft|Category:1980s United States sport aircraft|Category:1980s United States sport aircraft|Category:1980s United States sport aircraft|Category:1980s United States sport aircraft,1980,,Error,0,1,11749251,,,Bede BD-8,Error,6.1726027397260275,1,1.0,1980.0
1216,Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft,"May 21, 1975",Error,Error,0,400+ (1982),847530,Error,Error,Rutan VariEze,Error,104.4,5,400.0,1975.0
1226,Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft,[[1979 in aviation,,Error,0,1,11583081,,,Miller Lil' Rascal,Error,1.9917808219178081,1,1.0,1979.0
1229,Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft,[[1971 in aviation,[[1974 in aviation,Error,0,over 855,16791241,,,Maule M-5,Error,31.53698630136986,5,855.0,1971.0
1234,Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft,24 May 1971,,Error,0,at least 18 (2014),17360443,,,Javelin Wichawk,Error,3.4328767123287673,3,18.0,1971.0
1236,Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft,1975,,Error,0,2,15012495,,,Harmon Mister America,Error,2.4657534246575343,2,2.0,1975.0
1243,Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft,28 June 1978,,Error,0,at least 9 by 1998,15961208,,,Durand Mk V,Error,3.271232876712329,3,9.0,1978.0
1246,Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft,July [[1977 in aviation,,Error,0,1,12676057,,,Butterworth Westland Whirlwind,Error,6.575342465753424,1,1.0,1977.0
1250,Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft,,,Error,0,4,12333325,,,Bowers Namu II,Error,3.8273972602739725,2,4.0,1970.0
1251,Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft,25 July [[1973 in aviation,,Error,0,1,11749416,,,Beets Special,Error,1.915068493150685,1,1.0,1973.0
1253,Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:Racing aircraft|Category:Racing aircraft,,1970,Error,0,1,8830496,1983,,Beck-Mahoney Sorceress,,13.106849315068493,1,1.0,1970.0
1255,Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft,2 April 1970,,Error,0,112 (2011),11655958,,In production (2011),Bakeng Deuce,Error,5.167123287671233,4,112.0,1970.0
1258,Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft,1977,,Error,0,1,10114173,,,Aero Design DG-1,,7.884931506849315,1,1.0,1977.0
1259,Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft|Category:1970s United States sport aircraft,1974,,Error,0,65 (2005),1026881,,,ADI Sportster,,4.3863013698630136,4,65.0,1974.0
1275,Category:1960s United States sport aircraft|Category:1960s United States sport aircraft|Category:1960s United States sport aircraft|Category:1960s United States sport aircraft|Category:1960s United States sport aircraft|Category:1960s United States sport aircraft,1968,,Error,0,150 (2011),8899001,,,Hatz CB-1,Error,10.860273972602739,4,150.0,1968.0
1283,Category:1960s United States sport aircraft|Category:1960s United States sport aircraft|Category:1960s United States sport aircraft|Category:1960s United States sport aircraft|Category:1960s United States sport aircraft|Category:1960s United States sport aircraft,[[1962 in aviation,,Error,0,at least 32 by 1985,15612501,,,D'Apuzzo Senior Aero Sport,$9500 in 1971,4.895890410958904,3,32.0,1962.0
1284,Category:1960s United States sport aircraft|Category:1960s United States sport aircraft|Category:1960s United States sport aircraft|Category:1960s United States sport aircraft|Category:1960s United States sport aircraft|Category:1960s United States sport aircraft,[[1965 in aviation,,Error,0,20+,14924050,,,Cvjetkovic CA-65,Error,4.736986301369863,3,20.0,1965.0
1285,Category:1960s United States sport aircraft|Category:1960s United States sport aircraft|Category:1960s United States sport aircraft|Category:1960s United States sport aircraft|Category:1960s United States sport aircraft|Category:1960s United States sport aircraft,1962,,Error,0,10+,14924133,,,Cvjetkovic CA-61,Error,2.293150684931507,3,10.0,1962.0
1297,Category:1950s United States sport aircraft|Category:1950s United States sport aircraft|Category:1950s United States sport aircraft|Category:1950s United States sport aircraft|Category:1950s United States sport aircraft|Category:1950s United States sport aircraft,[[1960 in aviation,[[1961 in aviation,Error,0,474,16783691,,,Maule M-4,Error,24.898630136986302,5,474.0,1960.0
1312,Category:1940s United States sport aircraft|Category:1940s United States sport aircraft|Category:1940s United States sport aircraft|Category:1940s United States sport aircraft|Category:1940s United States sport aircraft|Category:1940s United States sport aircraft,1947,Error,1949,0,736,3132012,,,Piper PA-16 Clipper,[[USD]]$2995 (in 1949),31.517808219178082,5,736.0,1947.0
1313,Category:1940s United States sport aircraft|Category:1940s United States sport aircraft|Category:1940s United States sport aircraft|Category:1940s United States sport aircraft|Category:1940s United States sport aircraft|Category:1940s United States sport aircraft,August 1946,Error,1947,0,"1,541",7901422,,still in operation,Piper PA-11,,47.26849315068493,5,1541.0,1946.0
1314,Category:1940s United States sport aircraft|Category:1940s United States sport aircraft|Category:1940s United States sport aircraft|Category:1940s United States sport aircraft|Category:1940s United States sport aircraft|Category:1940s United States sport aircraft,1948,,Error,0,435 (2011),12676266,,In production (2015),Mustang Aeronautics Midget Mustang,Error,24.24109589041096,5,435.0,1948.0
1320,Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft,28 June 1933,Error,"February 1934, New Orleans Shushan Airport",0,1,1502968,1934 Thompson Trophy Race,Donated to Louisiana State University 1936. Fate unknown.,Wedell-Williams Model 45,"est. US$15,000 in 1936",5.306849315068493,1,1.0,1933.0
1321,Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft,12 January 1930,Error,"13 June 1930, New Orleans Air Races",0,4,1502567,1939 National Air Races,"One survivor, Crawford Auto-Aviation Museum, Cleveland, Ohio",Wedell-Williams Model 44,"est. US$10,000 in 1931",13.301369863013699,2,4.0,1930.0
1322,Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft,1930,Error,"July 21, 1930 Cirrus All-American Flying Derby",0,2,34194454,1935 National Air Races at Cleveland,No survivors.,Wedell-Williams Model 22,"est. US$4,000 in 1936",3.8438356164383563,2,2.0,1930.0
1325,Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft,[[1930 in aviation,,Error,0,"11 (sportsman), 4 (YPT, military)",22540098,,,Verville Sport Trainer AT,Error,5.884931506849315,3,11.0,1930.0
1330,Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft,8 June 1934,1934,Error,0,"1,568",2051980,,Production completed,Ryan ST,,43.21643835616438,5,1568.0,1934.0
1331,Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft,{{avyear,,Error,0,"8, plus many in kit form",16931921,,,Rose Parrakeet,Error,3.0876712328767124,3,8.0,1930.0
1337,Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft,May 1938,1938,Error,0,"1,251",8748113,Error,many still flying as of 2014,Piper J-4,,21.980821917808218,5,1251.0,1938.0
1339,Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft,03 March 1931,,,0,2 (1 Beta 3 and 1 Beta 3D),13207094,,,Northrop Beta,,10.591780821917808,2,2.0,1931.0
1340,Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:Racing aircraft|Category:Racing aircraft,"October 18, [[1936 in aviation",,Error,0,1,37336886,,,Military Aircraft HM-1,,4.832876712328767,1,1.0,1936.0
1341,Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft,[[1932 in aviation,,Error,0,1,46845469,,,Maule M-1,Error,3.5972602739726027,1,1.0,1932.0
1347,Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft,1933,,Error,0,13,12500921,,,Kinner Playboy,Error,3.5726027397260274,3,13.0,1933.0
1348,Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:Racing aircraft|Category:Racing aircraft,"September 13, 1935",Error,,0,1,1444358,,,Hughes H-1 Racer,,283.2027397260274,1,1.0,1935.0
1350,Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:Racing aircraft|Category:Racing aircraft,"October 18, [[1936 in aviation",,Error,0,1,37317932,,,Hawks Miller HM-1,,5.994520547945205,1,1.0,1936.0
1352,Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft,{{avyear,,Error,0,8,16704787,,,Gee Bee Sportster,Error,14.610958904109589,3,8.0,1930.0
1353,Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft,{{avyear,,Error,0,2,16706013,,,Gee Bee Senior Sportster,Error,9.164383561643836,2,2.0,1930.0
1357,Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft,1933,,Error,0,380,14992196,,,Funk B,Error,20.71780821917808,5,380.0,1933.0
1358,Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft,5 October [[1930 in aviation,,Error,0,approx. 270,14995537,,Several still flying (2012),Curtiss-Wright Junior,Error,13.668493150684931,5,270.0,1930.0
1364,Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:Racing aircraft|Category:Racing aircraft,[[1930 in aviation,,Error,0,2,12669359,,,Buhl CA-1 Airster,Error,3.2849315068493152,2,2.0,1930.0
1365,Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:Racing aircraft|Category:Racing aircraft,[[1930 in aviation,,Error,0,ca. 100,12673164,,,Buhl Bull Pup,Error,8.986301369863014,4,100.0,1930.0
1368,Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft,[[1937 in aviation,,Error,0,1,11820880,,,Bellanca 28-92,Error,8.627397260273973,1,1.0,1937.0
1369,Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft|Category:1930s United States sport aircraft,1934,,Error,0,103,11064214,,,Arrow Model F,Error,5.663013698630137,4,103.0,1934.0
1375,Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft,[[1929 in aviation,,Error,0,10-16,22712496,,,Verville Air Coach,Error,3.3945205479452056,3,10.0,1929.0
1376,Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft,"August 29, 1929",,Error,0,5,21622303,,,Travel Air Type R Mystery Ship,Error,22.654794520547945,2,5.0,1929.0
1378,Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft,13 March 1925,1925,Error,0,"approx 1,300",15027793,,,Travel Air 2000,Error,41.81643835616438,5,1300.0,1925.0
1395,Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft,[[1920 in aviation,,Error,0,1,15850759,,,Dayton-Wright Racer,Error,10.057534246575342,1,1.0,1920.0
1396,Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:Racing aircraft|Category:Racing aircraft,18 September 1925,Error,1925,0,3,13619194,,,Curtiss R3C,,25.567123287671233,2,3.0,1925.0
1397,Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:Racing aircraft|Category:Racing aircraft,9 September [[1923 in aviation,,Error,0,3,14961610,,,Curtiss R2C,Error,11.73150684931507,2,3.0,1923.0
1400,Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:1920s United States sport aircraft|Category:Schneider Trophy|Category:Schneider Trophy,1 August [[1921 in aviation,,Error,0,4,14958932,,,Curtiss CR,Error,14.183561643835617,2,4.0,1921.0
